# Term	Identifier
COVID-19	DOID_0080600
disease	DOID_4
severe	HP_0012828
RNA	CHEBI_33697
acute	HP_0011009
creatine	CHEBI_16919
SARS-CoV-2 infection	DOID_0080600
Influenza	DOID_8469
myocarditis	DOID_820
myocarditis	HP_0012819
ACE inhibitors	CHEBI_35457
inhibitors	CHEBI_35222
angiotensin	CHEBI_2719
hypertension	HP_0000822
hypertension	DOID_10763
heart failure	HP_0001635
mortality	HP:0040006
oncology	HP_0002664
affected	HP_0032320
sleep	GO_0030431
heterogeneous	HP_0001425
Covid-19	DOID_0080600
alcohol	CHEBI_30879
alcohol	CHEBI_16236
water	CHEBI_15377
Aging	GO_0007568
medicine	CHEBI_23888
food	CHEBI_33290
severe acute respiratory syndrome	DOID_2945
syndrome	DOID_225
viral pneumonia	DOID_10533
pneumonia	DOID_552
pneumonia	HP_0002090
acute respiratory distress syndrome	DOID_11394
respiratory distress	HP_0002098
role	CHEBI_50906
corticosteroids	CHEBI_50858
dexamethasone	CHEBI_41879
moderate	HP_0012826
severity	HP_0012824
tocilizumab	CHEBI_64360
ferritin	CHEBI_82594
inflammatory response	GO_0006954
ARDS	DOID_11394
mild	HP_0012825
chronic	HP_0011010
frequent	HP_0040282
coughing	HP_0012735
dyspnea	HP_0002094
taste	GO_0050909
Severe Acute Respiratory Syndrome	DOID_2945
Severe	HP_0012828
Acute	HP_0011009
Syndrome	DOID_225
SARS	DOID_2945
onset	HP_0003674
antigen	CHEBI_59132
